user_id,ndcg_at_5,recall_at_5,top5_head_share,top5_avg_train_degree
0,0.5531464700081437,0.2,0.0,9.4
1,0.23719771276929622,0.5,0.0,11.4
2,0.23463936301137822,0.3333333333333333,0.0,8.8
3,0.6548086577531307,0.42857142857142855,0.0,11.4
4,0.6992148198508501,0.3333333333333333,0.0,10.2
5,0.7860137352654724,0.8,0.2,13.8
6,0.8318724637288826,0.75,0.4,19.2
7,0.38685280723454163,0.5,0.0,8.0
8,0.30078518014914984,0.3333333333333333,0.0,13.8
9,0.6992148198508501,0.5,0.2,16.0
10,0.6992148198508501,0.6,0.4,17.8
11,0.4468535299918563,0.3,0.0,9.2
12,0.8539316501572937,0.5,0.2,12.0
13,0.5087403079104241,0.18181818181818182,0.0,9.8
14,0.4912596920895758,0.5,0.0,11.8
15,0.5087403079104241,0.3333333333333333,0.2,15.4
16,0.0,0.0,0.2,14.6
17,0.6843515475204855,0.6,0.0,12.4
18,0.4703652827859579,0.2,0.0,11.6
19,0.38685280723454163,0.5,0.0,10.6
20,0.0,0.0,0.0,10.4
21,1.0,0.38461538461538464,0.0,13.0
22,0.8687949224876582,0.3333333333333333,0.0,12.2
24,0.3391602052736161,0.125,0.0,7.4
25,0.830419897363192,0.8,0.0,12.4
26,0.8539316501572937,0.36363636363636365,0.2,14.8
27,0.3065735963827292,0.5,0.0,11.6
28,0.5855700749881525,0.5,0.0,10.2
29,0.6843515475204855,0.6,0.0,10.6
30,1.0,0.45454545454545453,0.0,11.4
31,0.6366824387328317,0.5,0.2,12.4
32,0.34519134224686937,0.3333333333333333,0.0,11.4
33,0.14606834984270645,0.16666666666666666,0.0,9.0
34,0.8687949224876582,0.8,0.0,11.8
35,1.0,0.5555555555555556,0.0,11.2
36,1.0,1.0,0.0,8.8
37,0.8048099750039491,0.75,0.0,10.8
38,1.0,0.7142857142857143,0.0,9.2
39,0.830419897363192,0.3333333333333333,0.0,11.2
40,0.6992148198508501,0.3,0.0,10.6
41,0.4912596920895758,0.6,0.2,11.8
42,0.38685280723454163,1.0,0.0,8.2
43,0.6843515475204855,0.5,0.2,14.2
44,0.4776237035032179,0.6666666666666666,0.0,6.6
45,0.24630238874073,0.25,0.0,11.8
46,0.6548086577531307,0.5,0.2,14.6
47,0.830419897363192,0.4,0.2,16.6
48,0.48522855511632257,0.25,0.0,10.2
49,1.0,0.625,0.2,14.6
50,0.48522855511632257,0.4,0.2,17.8
51,1.0,0.3333333333333333,0.0,11.4
52,0.34519134224686937,0.4,0.0,11.2
53,0.5585075862632192,0.5,0.0,5.0
54,0.7860137352654724,0.3076923076923077,0.0,9.8
55,1.0,1.0,0.0,11.6
56,0.830419897363192,0.4,0.0,10.6
57,0.75369761125927,0.75,0.0,8.6
58,0.3903800499921017,0.25,0.0,12.6
59,1.0,1.0,0.0,5.4
60,0.6992148198508501,0.5,0.0,9.2
61,0.0,0.0,0.0,10.6
62,0.6131471927654584,0.5,0.0,9.4
63,0.48522855511632257,0.4,0.0,11.2
64,0.24630238874073,0.25,0.2,14.6
65,0.8318724637288826,0.75,0.0,8.4
66,1.0,0.5,0.0,9.8
67,0.6309297535714575,1.0,0.2,14.6
68,0.30078518014914984,0.2857142857142857,0.0,11.8
69,0.9469024295259745,1.0,0.0,9.0
70,0.5531464700081437,0.2222222222222222,0.0,8.0
71,0.5531464700081437,0.4,0.2,12.8
72,0.38364913903790027,0.6666666666666666,0.0,13.8
73,0.6843515475204855,0.5,0.0,13.0
74,0.3065735963827292,0.5,0.0,13.8
75,0.5087403079104241,0.3333333333333333,0.0,13.6
76,0.830419897363192,0.8,0.2,14.4
77,0.6843515475204855,0.5,0.0,12.4
78,0.6131471927654584,0.5,0.2,18.6
79,0.8687949224876582,0.2857142857142857,0.0,8.0
80,0.24630238874073,0.25,0.0,9.6
81,0.5296347172140421,0.3333333333333333,0.4,25.0
82,0.3391602052736161,0.2,0.0,8.6
83,0.7860137352654724,0.4444444444444444,0.0,10.6
84,0.8539316501572937,0.36363636363636365,0.0,12.8
85,0.34519134224686937,0.25,0.0,7.6
86,0.639945385422766,0.6,0.2,15.4
87,1.0,0.38461538461538464,0.0,12.0
88,0.8539316501572937,0.6666666666666666,0.2,18.0
89,0.7227265726449519,0.3333333333333333,0.2,18.2
90,0.8539316501572937,0.6666666666666666,0.0,12.2
91,0.8539316501572937,0.6666666666666666,0.4,15.6
92,0.6240505200038379,1.0,0.2,16.0
